evidence_id,signal,description,status,collected_at,gcp_project,PCI-DSS,SOC 2,ISO 27001,ISO 42001
gcp_iam_posture,no_stale_sa_keys_over_90d,No service account keys older than 90 days,PASS,2026-03-23T06:55:23.960485+00:00,project-2b1e7276-412a-4f3c-9d6,8.3.9,CC6.1; CC6.2,A.5.16; A.5.18,
gcp_iam_posture,sa_key_creation_disabled,Org policy disables service account key creation,FAIL,2026-03-23T06:55:23.960485+00:00,project-2b1e7276-412a-4f3c-9d6,7.2.1; 8.6.1,CC6.1; CC6.3,A.5.15; A.8.2,6.1.2
gcp_iam_posture,uniform_bucket_access_enforced,Uniform bucket-level access enforced via org policy,FAIL,2026-03-23T06:55:23.960485+00:00,project-2b1e7276-412a-4f3c-9d6,7.2.2,CC6.1,A.5.15,
gcp_iam_posture,os_login_required,OS Login required for VM SSH access (org policy),FAIL,2026-03-23T06:55:23.960485+00:00,project-2b1e7276-412a-4f3c-9d6,8.2.1; 8.6.1,CC6.1,A.5.16; A.8.2,6.1.2
gcp_audit_logging,audit_log_sink_active,At least one active log sink exports audit logs,PASS,2026-03-23T06:55:29.727860+00:00,project-2b1e7276-412a-4f3c-9d6,10.2.1; 10.2.2,CC7.2,A.8.15,9.1
gcp_audit_logging,log_retention_meets_pci_365d,Log bucket retention is at least 365 days,FAIL,2026-03-23T06:55:29.727860+00:00,project-2b1e7276-412a-4f3c-9d6,10.5.1; 10.3.2,CC7.2,A.8.15,9.1
gcp_audit_logging,data_write_logging_enabled,DATA_WRITE audit logs enabled for key GCP services,FAIL,2026-03-23T06:55:29.727860+00:00,project-2b1e7276-412a-4f3c-9d6,10.2.1; 10.7.1,CC7.2; CC7.3,A.8.15; A.8.16,9.1.2
gcp_audit_logging,log_validation_via_locked_bucket,Log bucket is locked (tamper-evident retention),PASS,2026-03-23T06:55:29.727860+00:00,project-2b1e7276-412a-4f3c-9d6,10.3.2; 10.7.1,CC7.2,A.8.15,
gcp_encryption,all_kms_keys_have_rotation,All KMS keys have automatic rotation enabled,PASS,2026-03-23T06:55:31.827827+00:00,project-2b1e7276-412a-4f3c-9d6,3.7.1; 3.6.1,CC6.7,A.8.24,8.4
gcp_encryption,all_kms_keys_rotate_within_90d,All KMS key rotation periods are 90 days or less,PASS,2026-03-23T06:55:31.827827+00:00,project-2b1e7276-412a-4f3c-9d6,3.7.1,CC6.7,A.8.24,
gcp_encryption,all_ssl_policies_tls12_or_higher,All SSL policies enforce TLS 1.2 or higher,PASS,2026-03-23T06:55:31.827827+00:00,project-2b1e7276-412a-4f3c-9d6,4.2.1,CC6.7,A.8.24,8.4
gcp_scc_findings,scc_enabled,Security Command Center is enabled for the project,FAIL,2026-03-23T06:55:33.992017+00:00,project-2b1e7276-412a-4f3c-9d6,11.3.1; 11.3.2,CC7.1; CC7.2,A.8.8,6.6.2
gcp_scc_findings,security_health_analytics_active,Security Health Analytics source is active in SCC,FAIL,2026-03-23T06:55:33.992017+00:00,project-2b1e7276-412a-4f3c-9d6,2.2.1; 11.3.1,CC7.1,A.8.8; A.8.9,
gcp_scc_findings,no_critical_findings,Zero CRITICAL severity findings in Security Command Center,FAIL,2026-03-23T06:55:33.992017+00:00,project-2b1e7276-412a-4f3c-9d6,6.3.3; 11.3.1,CC7.1; CC7.2,A.8.8,6.6.2
gcp_scc_findings,no_high_findings,Zero HIGH severity findings in Security Command Center,FAIL,2026-03-23T06:55:33.992017+00:00,project-2b1e7276-412a-4f3c-9d6,6.3.3,CC7.1,A.8.8,
workspace_access_control,all_users_have_mfa,All active Workspace users have 2-Step Verification enrolled,ERROR,N/A,N/A,8.4.2; 8.4.3,CC6.1,A.5.17; A.8.5,6.1.2
workspace_access_control,no_admins_without_mfa,All Workspace admin accounts have MFA enrolled,ERROR,N/A,N/A,8.4.2,CC6.1,A.5.17,6.1.2
workspace_access_control,no_suspicious_login_events,No suspicious login events in the past 7 days,ERROR,N/A,N/A,10.2.1,CC7.2,A.8.16,6.5
workspace_access_control,no_unreviewed_admin_grants,No new admin privilege grants in the past 30 days,ERROR,N/A,N/A,7.2.1; 8.2.1,CC6.2; CC6.3,A.5.15; A.5.18,6.1.2
workspace_access_control,no_external_drive_sharing,No external Drive sharing events in the past 30 days,ERROR,N/A,N/A,12.3.2,CC6.6,A.5.15,
